Tajuk Aduan,Nama Punca,PBT,Negeri,Daerah,Kawasan Parlimen,Longitud,Latitud,Tarikh Kemaskini,Tarikh Aduan,Tarikh Maklumbalas Pengadu,No. Rujukan,Jenis Punca,Jenis Aduan,Sub Jenis Aduan,Saluran Aduan,Unit @ Cawangan Bertangungjawab,Nama Penerima,Pegawai Penyiasat,Tarikh Siasatan,Maklumbalas Kepada Pengadu,Tindakan,Nota Makluman,Status
"PENCEMARAN UDARA ladang sawit berdekatan LIANG HOONG SPRAY PAINTING & KNOCKING,SPS",KAASAN KELAPA SAWIT BERDEKATAN SYARIKAT LIANG HOONG SPRAY PAINTING & KNOCKING,Majlis Bandaraya Seberang Perai,Pulau Pinang,Seberang Perai Selatan,P.046 - Batu Kawan,100.462785,5.275629,14/08/2025,11/8/2025,14/08/2025,AWAM-2025-06160,Tapak Pelupusan Sampah Haram,Udara,Pembakaran Terbuka,e-Aduan,Unit Aduan / Pelupusan Haram / Kontigensi / Mahkamah,Intan Arnieza Abdul Razak,Mohd Syukri Abu Hasan,45883,"Semasa siasatan/rondaan dijalankan dilokasi aduan (Lat: 5.275629 Long: 100.462785) mendapati tiada Pembakaran terbuka dilakukan. namun terdapat kesan PT daripada sampah, pangkasan pokok dan sisa-sisa bahan binaan haram yang dibuang. Lokasi adalah kawasan laluan masuk ke ladang kelapa sawit. Kawasan tersebut telah dijadikan sebagai tapak pelupusan sampah haram bagi sisa-sisa bahan binaan, sampah domestik dan pangkasan pokok oleh pihak yang tidak bertangungjawab. Hasil semakan di PeGIS mendapati lokasi tersebut berada di dalam Lot 9226, Mukim 14, Daerah SPS, P.Pinang. Tiada individu yang dikesan dilokasi aduan. Edaran risalah dan poster larangan PT telah ditampal di lokasi aduan tersebut. Jabatan Ini akan memohon maklumat pemilikan tanah untuk tindakan jabatan. Aduan akan dipanjangkan kepada MBSP berkaitan kacau ganggu awam buangan sampah bukan ditempat yang dibenarkan oleh PBT (MBSP) . Walaubagaimanapun pihak jabatan ini akan terus melakukan pemantauan dari masa ke semasa di lokasi terbabit. Sekian.","Rujuk Agensi Lain , Pemantauan",Tidak,Selesai
"PENCEMARAN UDARA tepi sekolah arab jarak atas ( lot 880,Mukim 13,SPU)",tepi sekolah arab jarak atas,Majlis Bandaraya Seberang Perai,Pulau Pinang,Seberang Perai Utara,P.042 - Tasek Gelugor,100.478691,5.453392,5/8/2025,4/8/2025,5/8/2025,AWAM-2025-05929,Tapak Pelupusan Sampah Haram,Udara,Pembakaran Terbuka,e-Aduan,Unit Aduan / Pelupusan Haram / Kontigensi / Mahkamah,Intan Arnieza Abdul Razak,Hilmy Bin Rusli,45874,"Semasa siasatan/rondaan dijalankan dilokasi aduan (Lat: 5.453392 Long: 100.478691) mendapati tiada Pembakaran terbuka (PT) yang dilakukan, namun terdapat kesan PT daripada sampah, pangkasan pokok dan sisa-sisa bahan binaan haram yang dibuang. Lokasi adalah kawasan laluan tepi parit ban Jalan Perhubungan Desa di Kampung Jarak Atas (Hjh Sabaraiah) Tasek Gelugor, P.Pinang. Kawasan tersebut telah dijadikan sebagai tapak pelupusan sampah haram bagi sisa-sisa bahan binaan, sampah domestik dan pangkasan pokok oleh pihak yang tidak bertangungjawab. Hasil semakan di PeGIS mendapati lokasi tersebut berada di dalam Lot 880, Mukim 13, Daerah SPU, P.Pinang. Tiada individu yang dikesan dilokasi aduan. Edaran risalah dan poster larangan PT telah ditampal di lokasi aduan tersebut. Jabatan Ini akan memohon maklumat pemilikan tanah untuk tindakan jabatan.Aduan akan dipanjangkan kepada MBSP berkaitan kacau ganggu awam daripada buangan sampah bukan ditempat yang dibenarkan oleh PBT (MBSP). Walaubagaimanapun pihak jabatan ini akan terus melakukan pemantauan dari masa ke semasa di lokasi terbabit. Sekian.","Rujuk Agensi Lain , Pemantauan",Tidak,Selesai
"PT tapak sampah haram tanah lapang tepi jalan berdekatan rumah pangsa ampang jajar, permatang pauh","tapak sampah haram tanah lapang tepi jalan berdekatan rumah pangsa ampang jajar,permatang pauh",Majlis Bandaraya Seberang Perai,Pulau Pinang,Seberang Perai Utara,P.043 - Bagan,100.4014,5.417832,17/07/2025,16/07/2025,17/07/2025,AWAM-2025-02370,Tapak Pelupusan Sampah Haram,Udara,Pembakaran Terbuka,Telefon,Unit Aduan / Pelupusan Haram / Kontigensi / Mahkamah,Intan Arnieza Abdul Razak,Mohamad Shukri Md Nor,45855,"-Semasa siasatan/rondaan dijalankan oleh PPKK MSAH, PJ MSM, PJ RY dilokasi aduan (Lat: 5.417832 Long: 100.401400) mendapati tiada Pembakaran terbuka (PT) yang dilakukan, namun terdapat kesan PT daripada sampah domestik, pangkasan pokok dan sisa-sisa bahan binaan haram yang dibuang. Lokasi adalah kawasan tepi jalan Lintang Ampang Jajar, Permatang Pauh, P.Pinang. Kawasan lapang tepi jalan tersebut telah dijadikan sebagai tapak pelupusan sampah haram bagi sisa-sisa bahan binaan, sampah domestik dan pangkasan pokok oleh pihak yang tidak bertangungjawab. -Tiada individu yang dikesan dilokasi aduan. Edaran risalah dan poster larangan PT telah ditampal di lokasi aduan tersebut. -Adalah disyorkan Rujuk MBSP berkaitan kacau ganggu buangan sampah bukan ditempat yang dibenarkan oleh PBT (MBSP). Walaubagaimanapun pihak jabatan ini akan terus melakukan pemantauan dari masa ke semasa di lokasi terbabit. Sekian.","Rujuk Agensi Lain , Pemantauan",Tidak,Selesai
"PENCEMARAN UDARA bau sampah berdekatan PANGSAPURI ECO BLOOM , 14100, Sungai Jawi",Belakang WTL Transport Sdn Bhd,Majlis Bandaraya Seberang Perai,Pulau Pinang,Seberang Perai Selatan,P.046 - Batu Kawan,100.469512,5.256345,28/04/2025,23/04/2025,26/04/2025,AWAM-2025-01977,Tapak Pelupusan Sampah Haram,Udara,Bau,e-Aduan,Unit Aduan / Pelupusan Haram / Kontigensi / Mahkamah,Intan Arnieza Abdul Razak,Rosmainy bin Yaakub,45773,"Semasa siasatan/rondaan dijalankan dilokasi aduan (Lat: 5.256525 Long: 100.469170) mendapati tiada Pembakaran Terbuka (PT) & tiada kesan PT dilokasi tersebut. Lokasi diadu telah dijadikan tempat buangan pelupusan sampah, selut dan sisa bahan binaan haram yang dibuang oleh pihak yang tidak bertangunggjawab bukan dilokasi yang dibenarkan oleh MBSP. Kawasan tersebut telah di pagar dengan sebahagian zink dan pintu untuk masuk ke lokasi tersebut. Drone juga telah digunakan bagi membantu pemantauan dari udara kerana pintu masuk berkunci. Tiada individu/penjaga semasa siasatan di lokasi aduan. Hasil Semakan di PeGIS mendapati lokasi tersebut berada di dalam 877, Mukim 14, Daerah SPS, P.Pinang. Jabatan ini akan mohon maklumat pemilikan tanah untuk mengenalpasti pemilik lot tersebut. Aduan akan dipanjangkan kepada MBSP berkaitan kacau ganggu buangan sampah bukan ditempat yang dibenarkan oleh PBT (MBSP). Walaubagaimanapun pihak jabatan ini akan terus melakukan pemantauan dari masa ke semasa di lokasi terbabit dan dalam rondaan OMPT, Sekian.","Rujuk Agensi Lain , Pemantauan",Tidak,Selesai
PENCEMARAN UDARA tanah lapang berdekatan batu kawasan bandar cassia,Open burning still ongoing despite complaints being made,Majlis Bandaraya Seberang Perai,Pulau Pinang,Seberang Perai Selatan,P.046 - Batu Kawan,100.432029,5.246147,8/4/2025,2/4/2025,8/4/2025,AWAM-2025-01138,Tapak Pelupusan Sampah Haram,Udara,Pembakaran Terbuka,e-Aduan,Unit Aduan / Pelupusan Haram / Kontigensi / Mahkamah,Intan Arnieza Abdul Razak,Mohd Syukri Abu Hasan,45755,"-Semasa siasatan/rondaan dijalankan dilokasi aduan (Lat: 5.246147 Long: 100.432029) mendapati tiada Pembakaran terbuka (PT) yang dilakukan, namun terdapat kesan PT daripada sampah, pangkasan pokok dan sisa-sisa bahan binaan haram yang dibuang. Lokasi adalah kawasan laluan tanah merah berdekatan Surau Al-Mustaqim Bandar Cassia Batu Kawan, Jalan Cassia Barat 1/1, P.Pinang. Kawasan tersebut telah dijadikan sebagai tapak pelupusan sampah haram bagi sisa-sisa bahan binaan, sampah domestik dan pangkasan pokok oleh pihak yang tidak bertangungjawab. Hasil semakan di PeGIS mendapati lokasi tersebut tidak mempunyai maklumat pemilikan tanah berhadapan Lot 21136, Mukim 13, Daerah Seberang Perai Selatan, P.Pinang. Tiada individu yang dikesan dilokasi aduan. Edaran risalah dan poster larangan PT telah ditampal di lokasi aduan tersebut. Aduan akan dipanjangkan kepada MBSP berkaitan kacau ganggu buangan sampah bukan ditempat yang dibenarkan oleh PBT (MBSP) dan Pejabat tanah daerah SPS menggenai pencerobohan tanah. Walaubagaimanapun pihak jabatan ini akan terus melakukan pemantauan dari masa ke semasa di lokasi terbabit. Sekian.","Rujuk Agensi Lain , Pemantauan",Tidak,Selesai
"PENCEMARAN UDARA tanah lapang berdekatan Design Village, Batu Kawan",Open burning every week,Majlis Bandaraya Seberang Perai,Pulau Pinang,Seberang Perai Selatan,P.046 - Batu Kawan,100.436177,5.24553,24/02/2025,20/02/2025,22/02/2025,PEGAWAI-2025-00583,Tapak Pelupusan Sampah Haram,Udara,Pembakaran Terbuka,e-Aduan,Unit Aduan / Pelupusan Haram / Kontigensi / Mahkamah,Intan Arnieza Abdul Razak,Hilmy Bin Rusli,45710,"Semasa siasatan/rondaan mendapati tiada Pembakaran yang dilakukan, namun pasukan rondaan telah menjumpai kawasan tapak pelupusan sampah haram di koordinat 5.246299, 100.431858 yang boleh diakses melalui Jalan Cassia Barat 1, Batu Kawan. Ditemui kesan pembakaran ke atas sisa kayu pallet, perabot dan sisa binaan dilaluan terbabit. Tiada individu ditemui dilokasi terbabit. Hasil semakan di PeGIS mendapati lokasi tersebut tiada maklumat pemilikan tanah (Tiada No.Lot). Aduan akan dipanjangkan kepada pihak MBSP berkaitan kacau ganggu awam berpunca daripada buangan sampah haram bukan ditempat yang dibenarkan. Walaubagaimanapun pihak jabatan ini akan terus melakukan pemantauan dari masa ke semasa di lokasi terbabit dan dalam rondaan OMPT bagi mencegah aktiviti pencemaran, Sekian.","Rujuk Agensi Lain , Pemantauan",Tidak,Selesai
"PENCEMARAN UDARA Kawasan belukar Jalan Prai 3,dalam Lot 6963 & 6962, Mukim 1, Daerah SPT, P.Pinang",Kawasan belukar,Majlis Bandaraya Seberang Perai,Pulau Pinang,Seberang Perai Tengah,P.046 - Batu Kawan,100.400615,5.373582,20/02/2025,18/02/2025,20/02/2025,PEGAWAI-2024-04359,Tapak Pelupusan Sampah Haram,Udara,Pembakaran Terbuka,Hotline JAS,Unit Aduan / Pelupusan Haram / Kontigensi / Mahkamah,Intan Arnieza Abdul Razak,Rosmainy bin Yaakub,45708,"-Siasatan mendapati aduan adalah berasas. Kawasan lapang tersebut telah dijadikan tapak pelupusan sampah haram oleh pihak yang tidak bertangungjawab. Tiada Pembakaran yang dilakukan namun terdapat kesan pembakaran yang telah dipadam (Lat: 5.373582 Long: 100.400615 ). Tiada individu ditemui dikawasan tersebut semasa siasatan dilakukan. Hasil semakan di PeGIS mendapati Lokasi tersebut berada di dalam Lot 6963 & 6962, Mukim 1, Daerah SPT, P.Pinang.Drone juga telah digunakan bagi memantau dari udara. Jabatan ini akan mohon maklumat pemilikan tanah di Pejabat daerah & tanah SPT untuk tindakan jabatan ini. Syor surat arahan kepada pemilik tanah setelah maklumat pemilikkan tanah diperolehi untuk mengambil tindakan bagi memastikan pembakaran terbuka tidak lagi dilakukan di kawasan ini. Aduan juga akan dipanjangkan kepada MBSP berkaitan kacau ganggu awam buangan sampah sarap haram bukan ditempat yang dibenarkan. Walaubagaimanapun pihak jabatan ini akan terus melakukan pemantauan dari masa ke semasa dilokasi terbabit dan dalam rondaan OMPT bagi mencegah aktiviti pencemaran, Sekian.","Rujuk Agensi Lain , Pemantauan",Tidak,Selesai
