Tahun,Buangan Terjadual,Lain-lain,Udara,Jumlah
2020,2,,125,127
2021,1,1,49,51
2022,4,1,299,304
2023,10,,251,261
2024,,,416,416
2025,6,,191,197
Jumlah,23,2,1331,1356
