Bilangan Aduan Melibatkan Tapak Pelupusan Sampah Haram Bagi JAS Negeri Pulau Pinang Mengikut Tahun,,,,
Tahun,Buangan Terjadual,Lain-lain,Udara,Jumlah
2020,,3,5,8
2021,,,4,4
2022,,,12,12
2023,1,,4,5
2024,1,,15,16
2025,,,7,7
Jumlah,2,3,47,52
